ticker,signal,total_signals,win_5d,acc_5d_%,avg_ret_5d,win_10d,acc_10d_%,avg_ret_10d,win_20d,acc_20d_%,avg_ret_20d
AFLT,ЛОНГ,29,14,48.3,-0.35,12,41.4,-0.28,14,48.3,-2.63
AFLT,ШОРТ,20,12,60.0,-0.9,14,70.0,-2.33,13,65.0,-2.31
AFLT,ALL,49,26,53.1,-0.57,26,53.1,-1.12,27,55.1,-2.5
BELU,ЛОНГ,20,6,30.0,-0.81,8,40.0,-1.26,7,35.0,-1.23
BELU,ШОРТ,8,4,50.0,-0.63,6,75.0,0.11,3,37.5,1.46
BELU,ALL,28,10,35.7,-0.76,14,50.0,-0.87,10,35.7,-0.46
CBOM,ЛОНГ,34,15,44.1,-0.37,17,50.0,-0.34,12,35.3,-1.62
CBOM,ШОРТ,21,10,47.6,0.91,11,52.4,1.24,6,28.6,6.13
CBOM,ALL,55,25,45.5,0.12,28,50.9,0.26,18,32.7,1.34
FEES,ЛОНГ,14,8,57.1,1.64,6,42.9,-0.44,8,57.1,0.72
FEES,ШОРТ,19,12,63.2,-0.06,10,52.6,-0.39,13,68.4,-1.26
FEES,ALL,33,20,60.6,0.66,16,48.5,-0.42,21,63.6,-0.42
FLOT,ЛОНГ,19,7,36.8,-0.43,8,42.1,-1.04,7,36.8,-2.28
FLOT,ШОРТ,13,3,23.1,1.99,2,15.4,4.94,4,30.8,9.34
FLOT,ALL,32,10,31.2,0.55,10,31.2,1.39,11,34.4,2.44
GAZP,ЛОНГ,19,10,52.6,-0.02,13,68.4,1.37,10,52.6,-0.26
GAZP,ШОРТ,20,13,65.0,-1.07,18,90.0,-1.44,15,75.0,-2.05
GAZP,ALL,39,23,59.0,-0.56,31,79.5,-0.07,25,64.1,-1.18
GMKN,ЛОНГ,10,7,70.0,1.97,10,100.0,5.22,9,90.0,7.62
GMKN,ШОРТ,17,7,41.2,0.93,4,23.5,2.83,6,35.3,4.73
GMKN,ALL,27,14,51.9,1.32,14,51.9,3.71,15,55.6,5.8
IRAO,ЛОНГ,18,6,33.3,0.02,11,61.1,0.43,10,55.6,-0.76
IRAO,ШОРТ,19,9,47.4,0.41,12,63.2,0.08,13,68.4,-1.04
IRAO,ALL,37,15,40.5,0.22,23,62.2,0.25,23,62.2,-0.9
LENT,ЛОНГ,10,7,70.0,3.28,7,70.0,2.01,6,60.0,3.04
LENT,ШОРТ,62,18,29.0,1.16,18,29.0,2.84,10,16.1,4.65
LENT,ALL,72,25,34.7,1.45,25,34.7,2.72,16,22.2,4.43
MAGN,ЛОНГ,20,12,60.0,0.7,7,35.0,-1.79,9,45.0,-2.51
MAGN,ШОРТ,23,14,60.9,-0.97,16,69.6,-2.0,7,30.4,0.05
MAGN,ALL,43,26,60.5,-0.19,23,53.5,-1.91,16,37.2,-1.14
MTSS,ЛОНГ,16,11,68.8,1.61,10,62.5,3.61,13,81.2,2.72
MTSS,ШОРТ,26,13,50.0,-0.66,11,42.3,-0.67,14,53.8,-0.56
MTSS,ALL,42,24,57.1,0.21,21,50.0,0.96,27,64.3,0.69
NLMK,ЛОНГ,23,12,52.2,0.4,11,47.8,0.06,9,39.1,-1.36
NLMK,ШОРТ,13,6,46.2,0.08,8,61.5,-1.76,7,53.8,-1.81
NLMK,ALL,36,18,50.0,0.29,19,52.8,-0.6,16,44.4,-1.52
NMTP,ЛОНГ,14,8,57.1,0.08,6,42.9,-1.13,7,50.0,-0.29
NMTP,ШОРТ,22,13,59.1,-0.98,12,54.5,-0.74,19,86.4,-2.89
NMTP,ALL,36,21,58.3,-0.57,18,50.0,-0.89,26,72.2,-1.88
PHOR,ЛОНГ,9,4,44.4,-0.59,5,55.6,2.01,4,44.4,2.48
PHOR,ШОРТ,28,11,39.3,0.54,9,32.1,1.58,14,50.0,2.74
PHOR,ALL,37,15,40.5,0.27,14,37.8,1.69,18,48.6,2.68
ROSN,ЛОНГ,16,9,56.2,1.09,8,50.0,1.46,6,37.5,-0.62
ROSN,ШОРТ,25,13,52.0,0.9,16,64.0,0.27,16,64.0,-0.55
ROSN,ALL,41,22,53.7,0.97,24,58.5,0.74,22,53.7,-0.58
SBER,ЛОНГ,18,11,61.1,0.26,8,44.4,-0.23,6,33.3,-0.31
SBER,ШОРТ,22,11,50.0,-0.05,9,40.9,0.51,10,45.5,0.24
SBER,ALL,40,22,55.0,0.09,17,42.5,0.17,16,40.0,-0.01
SIBN,ЛОНГ,19,9,47.4,0.44,9,47.4,0.17,12,63.2,0.67
SIBN,ШОРТ,28,17,60.7,-0.39,17,60.7,-0.02,20,71.4,-2.15
SIBN,ALL,47,26,55.3,-0.06,26,55.3,0.05,32,68.1,-1.01
SNGSP,ЛОНГ,33,17,51.5,-0.26,12,36.4,-1.47,9,27.3,-2.06
SNGSP,ШОРТ,18,11,61.1,-0.27,11,61.1,-1.68,12,66.7,-5.16
SNGSP,ALL,51,28,54.9,-0.26,23,45.1,-1.54,21,41.2,-3.15
TATN,ЛОНГ,25,16,64.0,1.41,17,68.0,1.59,9,36.0,-0.33
TATN,ШОРТ,21,15,71.4,-0.68,17,81.0,-1.41,11,52.4,0.42
TATN,ALL,46,31,67.4,0.46,34,73.9,0.22,20,43.5,0.01
VTBR,ЛОНГ,20,6,30.0,-1.62,6,30.0,-0.56,7,35.0,-2.0
VTBR,ШОРТ,15,7,46.7,0.31,7,46.7,-0.1,8,53.3,-0.77
VTBR,ALL,35,13,37.1,-0.79,13,37.1,-0.36,15,42.9,-1.47
