indicator,direction,signals,avg_contrib,acc_5d_%,avg_ret_5d,acc_10d_%,avg_ret_10d,acc_20d_%,avg_ret_20d
Stoch,медвежий (−),217,-1.29,56.2,-0.49,61.3,-0.58,48.8,0.63
RSI_div,бычий (+),174,2.0,56.3,0.82,57.5,0.91,48.9,0.28
Bollinger,медвежий (−),230,-1.53,53.9,-0.25,57.4,-0.24,49.6,0.5
RSI,медвежий (−),253,-1.32,51.0,-0.06,55.3,-0.07,48.2,0.57
MA_align,медвежий (−),246,-1.0,50.4,-0.01,54.5,-0.26,56.5,-0.71
Volume,медвежий (−),85,-1.0,57.6,-0.06,52.9,-0.55,51.8,-0.7
Candles,медвежий (−),71,-1.0,57.7,0.17,52.1,0.3,50.7,0.29
RSI_div,медвежий (−),176,-2.0,47.7,0.35,51.7,0.41,58.5,-0.42
MACD,медвежий (−),451,-1.17,49.7,0.16,51.4,0.2,52.8,-0.25
EMA_trend,медвежий (−),429,-1.01,49.0,0.33,49.9,0.49,48.0,1.12
MACD,бычий (+),375,1.15,50.4,0.2,49.1,0.28,48.5,0.49
RSI,бычий (+),271,1.33,50.6,0.33,48.7,0.1,46.1,-0.74
Candles,бычий (+),29,1.0,48.3,0.21,48.3,0.01,55.2,0.88
Stoch,бычий (+),272,1.32,50.0,0.17,48.2,-0.07,46.7,-0.71
Volume,бычий (+),118,1.0,50.8,0.51,47.5,0.36,45.8,0.05
EMA_trend,бычий (+),397,1.01,49.9,0.01,47.1,-0.04,42.6,-1.03
OBV,медвежий (−),184,-1.0,45.1,0.45,46.2,0.57,51.1,-0.22
Bollinger,бычий (+),254,1.31,45.7,-0.13,43.3,-0.39,44.1,-1.08
MA_align,бычий (+),203,1.0,50.7,0.04,43.3,-0.03,49.8,0.56
OBV,бычий (+),81,1.0,32.1,-1.13,43.2,-1.46,30.9,-2.35
