ticker,date,signal,score,rsi,close,ret_5d,win_5d,ret_10d,win_10d,ret_20d,win_20d,ind_RSI,ind_MACD,ind_EMA_trend,ind_OBV,ind_RSI_div,ind_Bollinger,ind_Volume,ind_Candles,ind_Weekly
ROSN,2025-07-09,ЛОНГ,5,32.9,410.25,2.833,True,1.809,True,3.575,True,1,0,0,0,0,1,0,0,0
ROSN,2025-10-02,ЛОНГ,5,29.7,408.0,1.176,True,0.279,False,-4.328,False,1,0,0,0,0,0,0,0,0
ROSN,2025-10-05,ЛОНГ,5,28.6,403.05,0.159,False,-1.078,False,-8.669,False,1,0,0,0,0,0,0,0,0
ROSN,2025-10-22,ЛОНГ,5,40.3,401.95,-3.327,False,-0.482,False,-2.289,False,0,1,0,0,1,0,0,0,0
ROSN,2025-10-23,ЛОНГ,6,34.6,389.85,-1.285,False,-1.387,False,-2.816,False,1,-1,0,0,1,1,0,0,0
ROSN,2025-10-24,ЛОНГ,6,34.6,389.8,-2.317,False,1.404,True,-2.779,False,1,0,0,0,1,0,0,0,0
ROSN,2025-10-27,ЛОНГ,8,27.4,370.15,3.812,True,6.581,True,4.893,True,1,0,0,0,1,1,0,0,0
ROSN,2025-10-28,ЛОНГ,5,32.3,376.5,3.951,True,4.906,True,6.431,True,1,0,0,0,1,0,0,0,0
ROSN,2025-10-29,ЛОНГ,5,33.4,377.95,2.737,True,2.869,True,9.18,True,1,0,0,0,1,0,0,0,0
ROSN,2025-10-31,ЛОНГ,5,38.1,382.45,3.601,True,0.455,True,6.733,True,1,0,0,0,1,0,0,0,0
ROSN,2025-11-01,ЛОНГ,5,39.8,384.8,2.462,True,-0.512,False,7.06,True,1,0,0,0,1,0,0,0,0
ROSN,2026-02-11,ЛОНГ,5,38.5,391.25,-0.289,False,1.189,True,14.195,True,1,0,0,0,0,0,1,0,0
ROSN,2026-02-27,ЛОНГ,5,48.6,394.25,10.853,True,24.469,True,25.907,True,0,1,0,0,1,0,1,0,0
GAZP,2025-07-09,ЛОНГ,5,30.9,119.67,1.883,True,7.625,True,2.05,True,1,0,0,0,0,1,0,0,0
GAZP,2025-07-12,ЛОНГ,5,28.6,116.69,3.102,True,10.236,True,4.445,True,1,0,0,0,0,1,0,0,0
GAZP,2025-08-11,ШОРТ,-4,72.5,140.0,1.129,True,6.121,True,2.393,True,-1,1,0,0,0,-1,0,0,0
GAZP,2025-09-22,ЛОНГ,5,29.5,119.5,0.202,False,-3.053,False,-2.928,False,1,0,0,0,0,0,0,0,0
GAZP,2025-10-04,ЛОНГ,5,29.4,114.14,2.166,True,0.825,True,2.253,True,1,0,0,0,0,0,0,0,0
GAZP,2025-10-08,ЛОНГ,7,36.0,114.22,0.757,True,9.762,True,1.679,True,1,1,0,0,1,0,0,0,0
GAZP,2025-10-09,ЛОНГ,5,42.8,116.83,-1.509,False,7.469,True,-0.619,False,0,1,0,0,1,0,1,0,0
GAZP,2025-10-10,ЛОНГ,6,39.9,115.18,-0.087,False,9.365,True,1.235,True,1,1,0,0,1,0,0,0,0
GAZP,2025-12-16,ШОРТ,-4,60.6,130.51,2.267,True,2.121,True,7.446,True,0,0,0,0,-1,-1,0,0,0
GAZP,2026-01-14,ЛОНГ,5,39.7,121.47,1.358,True,4.367,True,4.664,True,1,0,0,0,0,0,1,0,0
GAZP,2026-03-27,ШОРТ,-4,73.3,137.49,1.531,True,2.636,True,6.818,True,-1,1,0,0,0,-1,0,0,0
SBER,2025-09-19,ЛОНГ,5,27.2,294.84,-1.833,False,-3.397,False,-3.83,False,1,0,0,0,0,1,0,0,0
SBER,2025-09-24,ЛОНГ,5,32.1,293.31,-2.31,False,-4.784,False,-3.582,False,1,0,0,0,0,0,1,0,0
SBER,2025-10-05,ЛОНГ,5,27.1,281.99,0.512,True,0.335,True,0.094,False,1,0,0,0,0,0,0,0,0
SBER,2026-01-13,ЛОНГ,5,39.7,297.23,1.405,True,3.047,True,2.246,True,1,0,0,0,1,0,0,-1,0
SBER,2026-01-16,ЛОНГ,5,53.1,301.52,1.434,True,0.31,True,-0.273,False,0,1,0,0,1,0,0,0,0
SBER,2026-03-15,ШОРТ,-4,64.1,317.63,-0.99,False,0.981,True,-0.713,False,0,0,0,0,-1,-1,0,0,0
SBER,2026-03-19,ШОРТ,-4,68.7,320.77,1.264,True,1.778,True,0.95,True,0,1,0,0,-1,-1,0,0,0
NLMK,2025-07-08,ЛОНГ,7,36.5,108.68,-3.764,False,4.227,True,1.729,True,1,1,0,0,1,0,0,0,0
NLMK,2025-07-09,ЛОНГ,6,38.4,109.22,-0.073,False,3.274,True,0.2,False,1,1,0,0,1,0,0,0,0
NLMK,2025-08-12,ШОРТ,-5,78.3,128.1,0.144,False,4.087,True,8.655,True,-1,1,0,0,0,-1,0,-1,0
NLMK,2025-09-19,ЛОНГ,5,29.5,108.5,-0.883,False,-5.498,False,-6.735,False,1,0,0,0,0,1,0,0,0
NLMK,2025-09-22,ЛОНГ,5,33.2,109.64,-2.493,False,-7.371,False,-7.626,False,1,0,0,0,0,0,1,0,0
NLMK,2025-10-04,ЛОНГ,5,21.6,100.36,3.386,True,-2.571,False,-3.388,False,1,0,0,0,0,0,0,0,0
NLMK,2025-10-27,ЛОНГ,6,33.7,95.04,3.188,True,5.356,True,4.893,True,1,0,0,0,1,0,0,0,0
NLMK,2025-11-01,ЛОНГ,5,42.8,98.26,1.896,True,1.856,True,7.718,True,0,1,0,0,1,0,0,0,0
NLMK,2025-11-07,ЛОНГ,5,48.1,100.26,0.555,True,-3.858,False,4.83,True,0,1,0,0,1,0,0,1,0
NLMK,2026-03-19,ЛОНГ,5,27.6,102.96,-5.493,False,-6.947,False,-7.722,False,1,0,0,0,0,0,0,0,0
NLMK,2026-03-23,ЛОНГ,5,19.6,99.1,-2.662,False,-1.411,False,-4.014,False,1,0,0,0,0,1,0,0,0
NLMK,2026-03-24,ЛОНГ,5,19.0,98.72,-1.78,False,-2.914,False,-5.202,False,1,0,0,0,0,0,0,0,0
NLMK,2026-03-28,ЛОНГ,5,22.6,96.64,1.083,True,-0.055,False,-2.807,False,1,0,0,0,0,0,0,0,0
GMKN,2026-01-19,ШОРТ,-5,72.9,158.72,-5.023,False,-6.361,False,0.949,True,-1,0,0,0,-1,-1,0,0,0
GMKN,2026-01-20,ШОРТ,-5,73.1,158.84,-6.925,False,-0.841,False,1.057,True,-1,0,0,0,-1,-1,0,0,0
GMKN,2026-01-22,ШОРТ,-4,76.7,161.88,-3.585,False,0.928,True,-0.076,False,-1,1,0,0,-1,-1,0,0,0
GMKN,2026-03-23,ЛОНГ,5,29.6,147.84,-5.237,False,-6.974,False,-9.934,False,1,0,0,0,0,1,0,0,0
GMKN,2026-03-24,ЛОНГ,5,27.1,145.98,-3.213,False,-8.938,False,-10.683,False,1,0,0,0,0,1,0,0,0
GMKN,2026-03-25,ЛОНГ,5,29.7,146.72,-3.684,False,-9.032,False,-10.298,False,1,0,0,0,0,0,0,0,0
GMKN,2026-03-26,ЛОНГ,5,25.6,143.68,-2.66,False,-6.719,False,-6.622,False,1,0,0,0,0,1,0,0,0
GMKN,2026-03-27,ЛОНГ,5,21.9,140.2,-0.371,False,-1.928,False,-2.957,False,1,0,0,0,0,1,0,0,0
GMKN,2026-03-28,ЛОНГ,5,21.6,139.9,-2.03,False,-2.63,False,-1.773,False,1,0,0,0,0,1,0,0,0
GMKN,2026-03-29,ЛОНГ,5,28.7,141.98,-6.103,False,-4.543,False,-4.374,False,1,0,0,0,0,0,0,0,0
MTSS,2025-07-07,ЛОНГ,6,19.9,193.8,-0.69,False,4.291,True,7.802,True,1,0,0,0,0,1,0,0,0
MTSS,2025-07-08,ЛОНГ,6,23.0,195.95,-1.808,False,6.359,True,5.977,True,1,0,0,0,0,1,1,0,0
MTSS,2025-07-09,ЛОНГ,5,22.2,193.95,-0.277,False,7.427,True,5.661,True,1,0,0,0,0,1,0,0,0
MTSS,2025-07-10,ЛОНГ,5,26.7,197.0,1.779,True,6.6,True,4.012,True,1,0,0,0,0,0,0,0,0
MTSS,2025-07-14,ЛОНГ,5,28.2,194.4,7.51,True,7.945,True,8.868,True,1,0,0,0,0,0,0,0,0
MTSS,2025-10-04,ЛОНГ,5,25.6,200.2,2.52,True,-0.574,False,0.05,False,1,0,0,0,0,0,0,0,0
MTSS,2025-10-27,ЛОНГ,5,36.8,199.0,1.558,True,3.241,True,2.99,True,1,-1,0,0,1,0,0,0,0
MTSS,2025-10-28,ЛОНГ,5,39.7,200.3,1.668,True,2.963,True,3.984,True,1,0,0,0,1,0,0,0,0
MTSS,2025-11-03,ЛОНГ,5,49.5,204.7,1.071,True,-0.347,False,3.565,True,0,1,0,0,1,0,0,0,0
MTSS,2025-12-12,ШОРТ,-4,51.7,212.05,-3.027,False,-0.93,False,-0.86,False,0,-1,0,0,-1,0,0,-1,0
MTSS,2025-12-15,ШОРТ,-4,61.1,217.6,0.788,True,3.084,True,0.719,True,0,0,0,0,-1,-1,1,0,0
MTSS,2026-01-18,ШОРТ,-4,71.4,223.4,-1.632,False,-1.744,False,-0.469,False,-1,1,0,0,0,-1,0,-1,0
MTSS,2026-02-19,ШОРТ,-4,66.5,232.75,-0.35,False,0.359,True,2.442,True,0,1,0,0,-1,-1,0,0,0
MTSS,2026-02-20,ШОРТ,-4,69.2,234.75,0.353,True,1.268,True,2.885,True,0,1,0,0,-1,-1,0,0,0
MTSS,2026-02-21,ШОРТ,-5,70.7,236.0,1.558,True,3.275,True,3.275,True,-1,1,0,0,-1,-1,0,0,0
MTSS,2026-02-22,ШОРТ,-5,71.7,236.75,1.47,True,3.837,True,4.027,True,-1,1,0,0,-1,-1,0,0,0
MTSS,2026-03-27,ЛОНГ,5,36.3,222.65,1.444,True,0.678,True,1.151,True,1,0,0,0,0,1,0,0,0
SIBN,2025-07-09,ЛОНГ,5,29.8,501.55,0.229,False,3.618,True,0.857,True,1,0,0,0,0,1,0,0,0
SIBN,2025-07-10,ЛОНГ,6,29.1,499.8,0.3,True,4.2,True,0.66,True,1,0,0,0,0,1,0,0,0
SIBN,2025-07-11,ЛОНГ,5,27.0,494.6,2.783,True,4.532,True,1.984,True,1,0,0,0,0,1,0,0,0
SIBN,2025-07-12,ЛОНГ,5,29.6,497.15,0.992,True,4.329,True,1.413,True,1,0,0,0,0,0,0,0,0
SIBN,2025-09-02,ЛОНГ,5,38.3,517.7,1.094,True,0.128,False,-3.696,False,1,0,0,0,0,1,0,0,0
SIBN,2025-09-17,ЛОНГ,8,40.0,514.4,-3.274,False,-3.197,False,-3.022,False,1,0,0,0,1,0,1,0,0
SIBN,2025-09-18,ЛОНГ,5,38.4,512.5,-2.805,False,-3.029,False,-4.785,False,1,0,0,0,1,0,0,-1,0
SIBN,2025-09-22,ЛОНГ,6,27.8,495.6,1.749,True,-1.747,False,-6.387,False,1,0,0,0,0,1,0,0,0
SIBN,2025-09-23,ЛОНГ,5,26.6,493.0,2.027,True,-0.645,False,-5.251,False,1,0,0,0,0,1,0,0,0
SIBN,2025-10-09,ЛОНГ,5,46.8,501.5,-0.998,False,-1.937,False,-5.899,False,0,1,0,0,1,0,1,0,0
SIBN,2025-10-13,ЛОНГ,8,30.7,477.45,3.682,True,1.899,True,-1.963,False,1,1,0,0,1,1,0,0,0
SIBN,2025-11-05,ЛОНГ,5,44.9,474.5,-0.568,False,-0.947,False,2.242,True,0,1,0,0,1,0,0,0,0
SIBN,2025-11-07,ЛОНГ,5,49.2,480.05,-2.705,False,-3.318,False,1.993,True,0,1,0,0,1,0,0,1,0
