ticker,date,signal,score,rsi,close,entry,stop,tp1,tp2,exit,exit_reason,rr_planned,ret_pct_net
NLMK,2025-08-12,ШОРТ,-5,78.3,128.1,127.7761,134.12,122.42,119.74,122.42,tp1,0.84,3.992
SBER,2025-09-19,ЛОНГ,5,27.2,294.84,296.0079,287.88,313.08,319.98,287.88,stop,2.1,-2.946
SBER,2025-09-24,ЛОНГ,5,32.1,293.31,294.0169,285.69,313.08,319.98,285.69,stop,2.29,-3.032
SBER,2025-10-05,ЛОНГ,5,27.1,281.99,282.5312,274.36,313.08,319.98,289.46,timeout,3.74,2.252
SBER,2026-03-15,ШОРТ,-4,64.1,317.63,317.4912,322.6,311.12,304.29,317.87,timeout,1.25,-0.319
SBER,2026-03-19,ШОРТ,-4,68.7,320.77,320.8395,325.5,311.12,304.29,317.91,timeout,2.09,0.713
GAZP,2025-07-09,ЛОНГ,5,30.9,119.67,120.06,115.74,127.74,130.56,115.74,stop,1.78,-3.798
GAZP,2025-07-12,ЛОНГ,5,28.6,116.69,116.9584,112.66,127.74,130.56,127.74,tp1,2.51,9.018
GAZP,2025-09-22,ЛОНГ,5,29.5,119.5,119.5798,114.42,127.74,130.56,114.42,stop,1.58,-4.515
GAZP,2025-10-04,ЛОНГ,5,29.4,114.14,114.1971,109.91,120.35,123.0,123.0,tp2,1.44,7.509
GAZP,2025-10-08,ЛОНГ,7,36.0,114.22,114.9975,110.05,120.35,123.0,123.0,tp2,1.08,6.759
GAZP,2025-10-10,ЛОНГ,6,39.9,115.18,115.0575,110.76,120.35,123.0,123.0,tp2,1.23,6.703
GAZP,2026-03-27,ШОРТ,-4,73.3,137.49,137.4313,144.12,133.77,130.83,133.77,tp1,0.55,2.464
MTSS,2025-07-07,ЛОНГ,6,19.9,193.8,193.7968,184.12,222.01,226.9,206.75,timeout,2.92,6.484
MTSS,2025-07-08,ЛОНГ,6,23.0,195.95,195.998,186.06,222.01,226.9,206.8,timeout,2.62,5.311
MTSS,2025-07-09,ЛОНГ,5,22.2,193.95,195.4477,184.44,222.01,226.9,205.35,timeout,2.41,4.866
MTSS,2025-07-10,ЛОНГ,5,26.7,197.0,197.1485,187.44,222.01,226.9,209.75,timeout,2.56,6.192
MTSS,2025-07-14,ЛОНГ,5,28.2,194.4,195.2976,178.92,222.01,226.9,213.0,timeout,1.63,8.864
MTSS,2025-10-04,ЛОНГ,5,25.6,200.2,200.5002,188.06,212.22,216.9,212.22,tp1,0.94,5.645
MTSS,2025-10-27,ЛОНГ,5,36.8,199.0,199.1495,192.21,209.23,213.84,209.23,tp1,1.45,4.862
MTSS,2025-10-28,ЛОНГ,5,39.7,200.3,200.8504,192.14,209.23,213.84,209.23,tp1,0.96,3.972
MTSS,2025-11-03,ЛОНГ,5,49.5,204.7,204.6022,193.1,209.23,213.84,209.23,tp1,0.4,2.062
MTSS,2026-02-19,ШОРТ,-4,66.5,232.75,232.6336,242.68,222.49,217.61,228.0,timeout,1.01,1.792
MTSS,2026-02-20,ШОРТ,-4,69.2,234.75,234.8825,242.66,222.49,217.61,228.25,timeout,1.59,2.624
MTSS,2026-02-21,ШОРТ,-5,70.7,236.0,235.882,242.29,222.49,217.61,226.55,timeout,2.09,3.756
MTSS,2026-02-22,ШОРТ,-5,71.7,236.75,236.4317,242.11,222.49,217.61,229.0,timeout,2.46,2.943
ROSN,2025-07-09,ЛОНГ,5,32.9,410.25,410.7553,398.46,446.36,456.2,398.46,stop,2.9,-3.193
ROSN,2025-10-02,ЛОНГ,5,29.7,408.0,407.1535,394.03,426.15,435.54,426.15,tp1,1.45,4.466
