indicator,direction,horizon,signals,acc_%,avg_ret_%
RSI_div,бычий (+),5,106,60.4,1.33
Candles,медвежий (−),5,15,60.0,-1.28
MACD,бычий (+),5,66,59.1,1.76
RSI,бычий (+),5,172,56.4,0.89
Candles,бычий (+),5,9,55.6,0.52
Bollinger,бычий (+),5,63,54.0,0.6
Volume,бычий (+),5,27,37.0,1.3
RSI_div,медвежий (−),5,18,33.3,0.78
Bollinger,медвежий (−),5,24,33.3,0.55
RSI,медвежий (−),5,16,25.0,0.68
MACD,медвежий (−),5,10,20.0,0.85
RSI_div,бычий (+),10,106,65.1,2.89
MACD,бычий (+),10,66,62.1,2.94
Volume,бычий (+),10,27,59.3,3.22
RSI,бычий (+),10,172,57.0,1.41
Bollinger,бычий (+),10,63,54.0,0.9
Candles,бычий (+),10,9,44.4,-1.31
Candles,медвежий (−),10,15,40.0,1.49
MACD,медвежий (−),10,10,20.0,3.25
RSI,медвежий (−),10,16,18.8,2.91
Bollinger,медвежий (−),10,24,16.7,2.29
RSI_div,медвежий (−),10,18,11.1,2.53
RSI_div,бычий (+),20,106,67.9,3.21
Volume,бычий (+),20,27,66.7,3.76
Candles,бычий (+),20,9,66.7,0.74
MACD,бычий (+),20,66,65.2,3.53
Candles,медвежий (−),20,15,53.3,1.55
RSI,бычий (+),20,172,52.9,1.06
Bollinger,бычий (+),20,63,49.2,-0.09
MACD,медвежий (−),20,10,30.0,1.93
RSI_div,медвежий (−),20,18,22.2,4.7
RSI,медвежий (−),20,16,18.8,4.95
Bollinger,медвежий (−),20,24,16.7,4.25
