ticker,date,signal,score,entry,ret_5d,win_5d,ret_10d,win_10d,ret_20d,win_20d,ind_RSI,ind_MACD,ind_EMA_trend,ind_OBV,ind_RSI_div,ind_Candles,ind_Bollinger,ind_Volume,ind_MA_align,ind_Stoch
ROSN,2025-10-27,ЛОНГ,5,370.15,3.96,True,6.78,True,4.62,True,1,-1,0,0,3,0,1,0,0,1
ROSN,2025-10-28,ЛОНГ,5,376.5,4.7,True,5.25,True,6.93,True,2,-1,0,0,3,0,2,-1,-1,1
ROSN,2025-12-22,ШОРТ,-4,406.25,0.82,False,-0.76,True,-3.48,True,0,-2,0,0,-2,0,0,0,0,0
ROSN,2025-12-23,ШОРТ,-4,404.95,1.49,False,-1.11,True,-3.25,True,0,-2,0,0,-2,0,0,0,0,0
ROSN,2025-12-29,ШОРТ,-4,408.65,-1.13,True,-3.23,True,-2.62,True,0,-1,0,0,-2,-1,0,0,0,0
ROSN,2025-12-30,ШОРТ,-4,409.0,-4.14,True,-3.17,True,-0.65,True,0,-1,0,0,-2,0,0,-1,0,0
ROSN,2026-02-28,ЛОНГ,5,405.85,10.31,True,22.95,True,22.59,True,0,1,0,0,3,0,0,1,0,0
MTSS,2025-07-02,ШОРТ,-4,234.1,-16.3,True,-18.03,True,-9.93,True,-1,1,0,0,0,-1,-1,-1,0,-1
MTSS,2025-11-05,ЛОНГ,5,204.5,0.54,True,-0.05,False,2.62,True,0,2,0,0,3,0,0,0,0,0
MTSS,2025-11-08,ЛОНГ,5,205.85,-0.61,False,-0.19,False,3.59,True,0,1,0,0,3,1,0,0,0,0
MTSS,2025-12-12,ШОРТ,-4,212.05,2.92,False,0.78,False,0.87,False,-1,-1,0,0,-2,0,-1,1,0,0
MTSS,2025-12-13,ШОРТ,-6,213.8,1.22,False,-0.35,True,0.02,False,0,-2,0,0,-2,-1,0,-1,0,0
MTSS,2025-12-16,ШОРТ,-5,217.9,-1.06,True,-2.59,True,-1.47,True,-1,-1,0,0,-2,0,-2,1,1,-1
MTSS,2025-12-20,ШОРТ,-4,215.3,-2.21,True,-0.65,True,3.79,False,0,-2,0,0,-2,0,0,0,0,0
MTSS,2025-12-23,ШОРТ,-4,213.05,-0.07,True,0.38,False,5.14,False,0,-1,0,0,-2,-1,0,0,0,0
MTSS,2025-12-27,ШОРТ,-4,212.4,0.71,False,2.94,False,6.73,False,0,-1,0,0,-2,0,0,0,-1,0
MTSS,2025-12-30,ШОРТ,-4,213.9,0.98,False,4.46,False,7.18,False,0,-1,0,0,-2,0,0,-1,0,0
MTSS,2026-01-19,ШОРТ,-4,221.7,2.26,False,2.35,False,0.56,False,-2,1,0,0,0,-1,-2,0,1,-1
MTSS,2026-01-23,ШОРТ,-4,226.6,0.2,False,-0.35,True,-0.86,True,-2,1,0,0,0,0,-1,-1,1,-2
MTSS,2026-02-05,ШОРТ,-5,224.55,-1.94,True,0.91,False,3.54,False,-1,-1,0,0,-2,0,0,-1,0,0
MTSS,2026-02-16,ШОРТ,-5,227.65,3.67,False,1.84,False,0.0,False,-1,-1,0,0,-2,0,-1,1,0,-1
MTSS,2026-02-17,ШОРТ,-4,226.6,4.48,False,2.6,False,-0.07,True,0,-1,0,0,-2,0,0,-1,0,0
MTSS,2026-02-20,ШОРТ,-5,234.75,-0.53,True,-1.36,True,-2.88,True,-1,1,0,0,-2,0,-2,0,0,-1
MTSS,2026-02-21,ШОРТ,-4,236.0,-1.76,True,-3.52,True,-3.28,True,-1,1,0,0,-2,0,-2,0,1,-1
MTSS,2026-02-22,ШОРТ,-5,236.75,-1.8,True,-4.27,True,-4.31,True,-2,1,0,0,-2,0,-2,0,1,-1
MTSS,2026-02-23,ШОРТ,-5,236.1,-1.84,True,-3.09,True,-3.01,True,-2,1,0,0,-2,0,-1,0,1,-2
GMKN,2025-09-13,ШОРТ,-5,123.42,-0.44,True,-2.32,True,-2.66,True,0,-2,0,0,-2,0,0,-1,0,0
GMKN,2026-01-15,ШОРТ,-5,156.4,1.56,False,8.08,False,1.09,False,-2,1,0,0,-2,0,-1,0,1,-2
GMKN,2026-01-19,ШОРТ,-5,158.72,4.61,False,7.43,False,-1.27,True,-2,-2,0,0,-2,0,0,0,1,0
GMKN,2026-01-20,ШОРТ,-6,158.84,6.42,False,0.73,False,-0.78,True,-2,-1,0,0,-2,0,-1,0,1,-1
GMKN,2026-01-21,ШОРТ,-6,162.0,2.77,False,-1.11,True,-3.73,True,-2,-1,0,0,-2,0,-1,0,1,-1
GMKN,2026-01-23,ШОРТ,-4,165.36,1.78,False,-2.98,True,-4.32,True,-2,1,0,0,-2,0,-1,0,1,-1
NLMK,2025-06-14,ЛОНГ,5,111.94,-0.2,False,-1.41,False,2.61,True,1,-1,0,0,3,0,1,0,-1,2
NLMK,2025-06-18,ЛОНГ,6,112.44,-2.17,False,0.32,True,-3.01,False,1,-1,0,0,3,0,0,1,0,2
NLMK,2025-06-19,ЛОНГ,8,111.72,-1.22,False,3.2,True,-5.41,False,1,2,0,0,3,0,0,1,0,1
