indicator,direction,horizon,signals,acc_%,avg_ret_%
Candles,медвежий (−),5,9,66.7,-1.81
RSI_div,бычий (+),5,110,60.9,1.28
MACD,бычий (+),5,51,60.8,2.04
RSI,бычий (+),5,172,56.4,0.89
Candles,бычий (+),5,9,55.6,0.52
Bollinger,бычий (+),5,63,54.0,0.6
Volume,бычий (+),5,28,42.9,1.24
MACD,медвежий (−),5,8,12.5,1.19
RSI_div,бычий (+),10,110,65.5,2.81
Volume,бычий (+),10,28,60.7,2.98
MACD,бычий (+),10,51,58.8,2.89
RSI,бычий (+),10,172,57.0,1.41
Bollinger,бычий (+),10,63,54.0,0.9
Candles,бычий (+),10,9,44.4,-1.31
Candles,медвежий (−),10,9,33.3,1.41
MACD,медвежий (−),10,8,12.5,3.99
Candles,бычий (+),20,9,66.7,0.74
RSI_div,бычий (+),20,110,66.4,3.08
Volume,бычий (+),20,28,57.1,3.28
MACD,бычий (+),20,51,56.9,2.87
Candles,медвежий (−),20,9,55.6,0.16
RSI,бычий (+),20,172,52.9,1.06
Bollinger,бычий (+),20,63,49.2,-0.09
MACD,медвежий (−),20,8,12.5,2.58
