ticker,date,signal,score,entry,ret_5d,win_5d,ret_10d,win_10d,ret_20d,win_20d,ind_RSI,ind_MACD,ind_EMA_trend,ind_OBV,ind_RSI_div,ind_Candles,ind_Bollinger,ind_Volume,ind_MA_align,ind_Stoch
SBER,2025-07-02,ШОРТ,-3,319.43,-1.86,True,-2.89,True,-2.74,True,-1,1,-1,0,0,0,-2,0,1,-1
SBER,2025-07-03,ШОРТ,-3,319.17,-2.96,True,-3.05,True,-1.91,True,-1,1,-1,0,0,0,-2,0,1,-1
SBER,2025-07-04,ШОРТ,-3,319.44,-2.93,True,-0.46,True,-2.7,True,-1,1,-1,0,0,0,-1,0,1,-2
SBER,2025-07-07,ШОРТ,-3,313.5,-1.05,True,4.32,False,-1.49,True,-1,1,1,0,0,-1,-1,0,0,-2
SBER,2025-07-10,ЛОНГ,3,314.01,1.9,True,-0.46,False,-3.41,False,0,-1,1,0,0,0,1,1,0,1
SBER,2025-07-15,ЛОНГ,3,319.99,-2.32,False,-3.46,False,-3.05,False,0,-1,1,1,0,1,0,1,0,0
SBER,2025-07-19,ЛОНГ,3,312.42,-0.51,False,-2.29,False,1.79,True,0,1,1,1,0,0,1,-1,0,0
SBER,2025-07-29,ЛОНГ,3,305.26,0.69,True,4.17,True,2.22,True,1,-1,1,1,0,0,1,0,-1,1
SBER,2025-08-07,ЛОНГ,4,313.43,1.69,True,0.98,True,-1.08,False,0,2,-1,0,2,0,0,1,0,0
SBER,2025-08-11,ШОРТ,-4,317.82,-0.83,True,-2.47,True,-2.15,True,-1,1,-1,0,0,0,-2,0,0,-1
SBER,2025-08-17,ЛОНГ,3,314.97,-0.93,False,-0.7,False,-1.54,False,0,1,1,0,2,-1,0,0,0,0
SBER,2025-08-19,ЛОНГ,3,316.5,-1.47,False,-2.04,False,-1.16,False,0,1,1,0,0,0,0,0,1,0
SBER,2025-08-22,ШОРТ,-4,312.05,0.23,False,-0.91,True,-1.58,True,0,-2,-2,0,0,0,0,0,0,0
SBER,2025-08-29,ШОРТ,-3,310.04,-0.18,True,0.9,False,-2.7,True,0,-1,-2,0,0,-1,1,0,-1,1
SBER,2025-09-04,ШОРТ,-3,308.74,1.4,False,-1.54,True,-5.64,True,0,-1,-1,0,0,0,0,0,-1,0
SBER,2025-09-05,ШОРТ,-3,310.5,-0.24,True,-2.58,True,-6.06,True,0,-1,-1,0,0,0,0,0,-1,0
SBER,2025-09-15,ЛОНГ,3,302.48,-1.46,False,-3.57,False,-2.84,False,1,-1,1,0,0,0,1,0,-1,2
SBER,2025-10-19,ШОРТ,-3,303.03,-5.11,True,-3.68,True,-1.3,True,-1,1,-1,0,0,0,-2,0,1,-1
SBER,2025-10-21,ШОРТ,-3,295.47,-2.03,True,0.87,False,0.67,False,-1,1,-1,0,0,0,-1,0,1,-2
SBER,2025-10-28,ШОРТ,-3,289.46,2.96,False,2.94,False,5.28,False,0,-2,-1,-1,0,0,0,0,0,1
SBER,2025-10-29,ШОРТ,-3,290.5,1.79,False,3.43,False,5.99,False,0,-1,-1,-1,0,0,0,0,0,0
SBER,2025-10-30,ШОРТ,-3,296.12,-0.62,True,1.69,False,3.57,False,0,-1,-1,-1,0,0,0,0,0,0
SBER,2025-11-13,ШОРТ,-3,299.09,0.12,False,2.51,False,2.72,False,0,1,-1,0,0,-1,0,0,0,-2
SBER,2025-11-17,ШОРТ,-3,294.68,3.8,False,3.12,False,4.25,False,0,-2,-1,0,0,0,0,0,0,0
SBER,2025-12-23,ЛОНГ,3,300.65,0.63,True,-0.88,False,1.12,True,1,-1,1,0,0,0,2,0,-1,1
SBER,2025-12-26,ШОРТ,-3,302.51,-1.23,True,-1.75,True,1.44,False,0,-1,-1,0,0,-1,0,0,0,0
SBER,2026-01-14,ЛОНГ,3,298.58,1.69,True,2.58,True,1.75,True,1,-1,1,0,2,-1,1,0,-1,1
SBER,2026-01-17,ЛОНГ,5,301.28,1.64,True,1.21,True,-0.22,False,0,2,1,0,2,0,0,0,0,0
SBER,2026-01-18,ЛОНГ,4,301.86,1.66,True,0.57,True,-0.04,False,0,1,1,0,2,0,0,0,0,0
SBER,2026-01-19,ЛОНГ,5,303.62,0.88,True,1.61,True,-0.64,False,0,1,1,1,2,0,0,0,0,0
SBER,2026-01-20,ЛОНГ,5,304.03,0.89,True,0.52,True,-0.73,False,0,1,1,1,2,0,-1,1,0,0
SBER,2026-01-21,ЛОНГ,3,306.49,-1.08,False,-0.26,False,-1.17,False,0,1,1,0,2,0,-1,0,1,-1
SBER,2026-01-22,ЛОНГ,3,306.22,-0.42,False,0.05,True,-0.15,False,-1,1,2,0,2,0,-2,1,1,-1
SBER,2026-01-24,ЛОНГ,3,306.29,0.73,True,-0.81,False,0.74,True,-1,1,1,0,2,1,-1,0,1,-1
SBER,2026-01-27,ЛОНГ,4,304.92,0.48,True,-1.41,False,2.78,True,0,1,1,0,2,0,0,0,0,0
SBER,2026-02-09,ШОРТ,-3,301.81,3.04,False,3.97,False,3.32,False,0,-1,-1,0,-2,0,1,0,-1,1
SBER,2026-02-10,ШОРТ,-3,302.9,2.6,False,3.51,False,2.71,False,0,-1,-1,0,-2,0,0,0,0,1
SBER,2026-02-16,ШОРТ,-4,311.0,0.9,False,1.48,False,1.22,False,-1,1,-1,0,-2,0,-1,1,0,-1
SBER,2026-02-17,ШОРТ,-3,310.77,0.89,False,1.56,False,1.39,False,-1,1,-1,0,0,0,-2,1,0,-1
SBER,2026-02-18,ШОРТ,-3,313.4,0.24,False,0.21,False,0.95,False,-1,1,-1,0,0,0,-1,0,1,-2
GMKN,2025-06-16,ШОРТ,-3,104.42,-0.5,True,6.68,False,-0.67,True,0,-2,-1,0,0,0,0,0,0,0
GMKN,2025-06-25,ШОРТ,-3,107.18,3.77,False,2.05,False,2.72,False,0,-1,-1,0,0,0,0,0,-1,0
GMKN,2025-06-30,ШОРТ,-3,111.22,-1.65,True,-6.11,True,5.56,False,0,1,-1,-1,0,0,-1,0,1,-2
GMKN,2025-07-08,ШОРТ,-3,103.72,-1.91,True,11.22,False,12.8,False,0,-2,-1,0,0,0,0,0,0,0
GMKN,2025-07-10,ЛОНГ,4,104.42,5.44,True,12.43,True,14.4,True,1,-1,1,0,0,0,1,1,0,1
