ticker,signal,total_signals,win_5d,acc_5d_%,avg_ret_5d,win_10d,acc_10d_%,avg_ret_10d,win_20d,acc_20d_%,avg_ret_20d
AFLT,ЛОНГ,9,8,88.9,4.5,7,77.8,7.66,5,55.6,1.46
AFLT,ШОРТ,5,4,80.0,-0.98,4,80.0,-1.36,4,80.0,-4.26
AFLT,ALL,14,12,85.7,2.54,11,78.6,4.44,9,64.3,-0.58
BELU,ЛОНГ,7,4,57.1,1.09,4,57.1,2.47,5,71.4,5.08
BELU,ШОРТ,1,0,0.0,1.06,1,100.0,-0.91,1,100.0,-1.54
BELU,ALL,8,4,50.0,1.08,5,62.5,2.05,6,75.0,4.25
CBOM,ЛОНГ,13,8,61.5,1.75,10,76.9,1.67,7,53.8,2.45
CBOM,ШОРТ,4,1,25.0,3.95,1,25.0,3.83,3,75.0,0.2
CBOM,ALL,17,9,52.9,2.27,11,64.7,2.18,10,58.8,1.92
FEES,ЛОНГ,9,6,66.7,2.54,5,55.6,-0.26,8,88.9,2.1
FEES,ШОРТ,10,6,60.0,0.99,5,50.0,-0.3,7,70.0,-0.69
FEES,ALL,19,12,63.2,1.72,10,52.6,-0.28,15,78.9,0.63
GAZP,ЛОНГ,7,4,57.1,1.57,6,85.7,4.07,3,42.9,-0.85
GAZP,ШОРТ,8,6,75.0,-1.69,8,100.0,-2.22,8,100.0,-5.2
GAZP,ALL,15,10,66.7,-0.17,14,93.3,0.71,11,73.3,-3.17
GMKN,ШОРТ,6,1,16.7,2.78,3,50.0,1.64,5,83.3,-1.94
GMKN,ALL,6,1,16.7,2.78,3,50.0,1.64,5,83.3,-1.94
IRAO,ЛОНГ,7,6,85.7,1.81,7,100.0,2.59,6,85.7,2.51
IRAO,ШОРТ,9,6,66.7,-0.09,5,55.6,0.51,5,55.6,-0.7
IRAO,ALL,16,12,75.0,0.75,12,75.0,1.42,11,68.8,0.7
LENT,ШОРТ,40,14,35.0,1.06,16,40.0,1.46,8,20.0,2.73
LENT,ALL,40,14,35.0,1.06,16,40.0,1.46,8,20.0,2.73
MAGN,ЛОНГ,9,6,66.7,1.16,5,55.6,0.03,7,77.8,3.56
MAGN,ШОРТ,9,8,88.9,-3.12,8,88.9,-4.17,5,55.6,-2.88
MAGN,ALL,18,14,77.8,-0.98,13,72.2,-2.07,12,66.7,0.34
MTSS,ЛОНГ,2,1,50.0,-0.03,0,0.0,-0.12,2,100.0,3.1
MTSS,ШОРТ,17,9,52.9,-0.65,9,52.9,-1.06,8,47.1,0.12
MTSS,ALL,19,10,52.6,-0.59,9,47.4,-0.96,10,52.6,0.43
NLMK,ЛОНГ,12,7,58.3,0.93,10,83.3,2.64,7,58.3,0.05
NLMK,ШОРТ,2,1,50.0,-0.58,2,100.0,-2.6,2,100.0,-5.56
NLMK,ALL,14,8,57.1,0.71,12,85.7,1.89,9,64.3,-0.75
NMTP,ЛОНГ,3,3,100.0,1.48,2,66.7,-0.45,3,100.0,0.57
NMTP,ШОРТ,2,1,50.0,0.36,0,0.0,0.82,0,0.0,2.42
NMTP,ALL,5,4,80.0,1.03,2,40.0,0.06,3,60.0,1.31
PHOR,ШОРТ,12,9,75.0,-0.17,1,8.3,2.18,7,58.3,0.05
PHOR,ALL,12,9,75.0,-0.17,1,8.3,2.18,7,58.3,0.05
ROSN,ЛОНГ,3,3,100.0,6.32,3,100.0,11.66,3,100.0,11.38
ROSN,ШОРТ,4,2,50.0,-0.74,4,100.0,-2.07,4,100.0,-2.5
ROSN,ALL,7,5,71.4,2.29,7,100.0,3.82,7,100.0,3.45
SBER,ЛОНГ,2,2,100.0,1.66,2,100.0,1.1,0,0.0,-0.65
SBER,ШОРТ,2,1,50.0,-0.41,1,50.0,1.7,2,100.0,-1.54
SBER,ALL,4,3,75.0,0.63,3,75.0,1.4,2,50.0,-1.09
SIBN,ЛОНГ,8,3,37.5,0.05,2,25.0,-2.25,4,50.0,-0.35
SIBN,ALL,8,3,37.5,0.05,2,25.0,-2.25,4,50.0,-0.35
SNGSP,ЛОНГ,18,6,33.3,-1.29,4,22.2,-2.59,4,22.2,-1.89
SNGSP,ШОРТ,6,4,66.7,-0.5,5,83.3,-1.36,3,50.0,-1.19
SNGSP,ALL,24,10,41.7,-1.09,9,37.5,-2.28,7,29.2,-1.72
TATN,ЛОНГ,12,9,75.0,3.27,8,66.7,3.42,8,66.7,4.5
TATN,ШОРТ,1,1,100.0,-0.25,1,100.0,-2.11,0,0.0,1.21
TATN,ALL,13,10,76.9,3.0,9,69.2,3.0,8,61.5,4.25
